time;x;y;z
5.220822818;4.97833252;-9.798812866;6.92036438
5.223264225;5.365005493;-9.788040161;7.007751465
5.225736148;5.782791138;-9.764099121;7.15020752
5.228208072;6.280792236;-9.80480957;7.226821899
5.230679996;6.758422852;-9.845504761;7.249572754
5.233121402;7.200164795;-9.912536621;7.360900879
5.235593326;7.725692749;-9.978378296;7.411178589
5.23806525;8.270370483;-10.07653809;7.471038818
5.240537174;8.848571777;-10.09091187;7.461456299
5.24297858;9.404022217;-10.14358521;7.522506714
5.245450504;9.967849731;-10.22138977;7.497375488
5.247922428;10.54006958;-10.26449585;7.459060669
5.250394352;11.12306213;-10.34469604;7.390823364
5.252835758;11.82215881;-10.40933228;7.261535645
5.255307682;12.60507202;-10.43208313;7.032897949
5.257779605;13.35325623;-10.50390625;6.780303955
5.260221012;14.02603149;-10.58651733;6.408004761
5.262692936;14.61740112;-10.69664001;6.033309937
5.265164859;15.06990051;-10.77923584;5.604751587
5.267636783;15.59661865;-10.80198669;5.109161377
5.270078189;15.95455933;-10.95042419;4.487854004
5.272550113;16.25382996;-11.09408569;3.804321289
5.275022037;16.54711914;-11.15153503;2.966339111
5.277493961;16.60339355;-11.13717651;2.270828247
5.279935367;16.45973206;-11.13717651;1.394546509
5.282407291;16.13771057;-10.99232483;0.42010498
5.284879215;15.62535095;-10.72776794;-0.259841919
5.287351139;14.82688904;-10.3901825;-0.966125488
5.289792545;13.33889771;-9.825149536;-1.576660156
5.292264469;11.49176025;-9.264907837;-1.907058716
5.294736393;9.268753052;-8.471237183;-2.606155396
5.297208316;7.398880005;-7.585372925;-2.677993774
5.299649723;6.346618652;-6.96647644;-2.5546875
5.302121646;6.191009521;-6.837188721;-2.273361206
5.30459357;6.683013916;-6.876693726;-2.018386841
5.307065494;7.65145874;-6.728256226;-1.941772461
5.3095069;8.846176147;-6.536712646;-1.745437622
5.311978824;9.643447876;-6.402648926;-1.561096191
5.314450748;10.15699768;-6.195541382;-1.162460327
5.316922672;10.49337769;-5.974075317;-0.580673218
5.319364078;10.84773254;-5.717895508;0.114852905
5.321836002;11.10151672;-5.392288208;0.53503418
5.324307926;10.97341919;-5.116958618;0.718185425
5.32677985;10.71484375;-4.841629028;0.955215454
5.329221256;10.30543518;-4.525588989;1.076126099
5.33169318;9.732025146;-4.23828125;1.259277344
5.334165104;9.056869507;-3.968933105;1.430465698
5.336637027;8.447540283;-3.695999146;1.416091919
5.339078434;7.78074646;-3.517623901;1.332305908
5.341550357;7.032562256;-3.324890137;1.191040039
5.344022281;6.270004272;-3.175262451;1.103652954
5.346494205;5.617584229;-3.053161621;1.041412354
5.348935611;4.952011108;-2.904708862;0.848678589
5.351407535;4.39414978;-2.788589478;0.646362305
5.353879459;3.912918091;-2.686843872;0.50630188
5.356351383;3.503509521;-2.577911377;0.342300415
5.358792789;3.033050537;-2.436645508;0.191467285
5.361264713;2.659561157;-2.217575073;-0.134140015
5.363736637;2.260925293;-1.994918823;-0.586654663
5.366208561;1.837142944;-1.864440918;-1.191192627
5.368649967;1.46244812;-1.872817993;-1.807693481
5.371121891;1.304443359;-2.121810913;-2.543914795
5.373593814;1.331970215;-2.682052612;-3.329208374
5.376065738;1.577377319;-3.244689941;-4.108520508
5.378507145;2.033477783;-3.855209351;-4.772918701
5.380979068;2.639205933;-4.533966064;-5.267318726
5.383450992;3.355072021;-5.116958618;-5.61328125
5.385922916;4.039810181;-5.632904053;-5.858688354
5.388364322;4.649139404;-6.055480957;-5.98197937
5.390836246;5.190231323;-6.417007446;-5.959243774
5.39330817;5.616394043;-6.636077881;-5.75932312
5.395780094;5.925247192;-6.771347046;-5.518707275
5.3982215;6.074890137;-6.885070801;-5.276885986
5.400693424;6.123962402;-6.941345215;-5.009933472
5.403165348;6.147903442;-6.948516846;-4.679534912
5.405637271;6.062911987;-6.903030396;-4.320404053
5.408078678;6.001861572;-6.838394165;-3.942123413
5.410550602;5.847442627;-6.737823486;-3.591369629
5.413022525;5.608016968;-6.652832031;-3.237030029
5.415494449;5.250076294;-6.521148682;-2.93536377
5.417966373;4.819122314;-6.377502441;-2.699539185
5.420438297;4.481536865;-6.250610352;-2.40145874
5.422910221;4.29359436;-6.105758667;-2.087814331
5.425382145;4.155929565;-5.935775757;-1.758605957
5.427823551;4.131988525;-5.762191772;-1.478485107
5.430295475;4.140365601;-5.515594482;-1.174423218
5.432767398;4.2552948;-5.274978638;-0.932617188
5.435239322;4.34387207;-5.076248169;-0.809310913
5.437680729;4.434860229;-4.870346069;-0.761428833
5.440152652;4.559356689;-4.638122559;-0.686004639
5.442624576;4.692230225;-4.39390564;-0.653686523
5.4450965;4.817932129;-4.11618042;-0.666854858
5.447537906;4.938842773;-3.85760498;-0.725509644
5.45000983;5.032211304;-3.535583496;-0.663269043
5.452481754;5.107620239;-3.249481201;-0.559112549
5.454953678;5.148330688;-2.836486816;-0.441802979
5.457395084;5.272827148;-2.435455322;-0.211959839
5.459867008;5.257263184;-2.064346313;0.092102051
5.462338932;5.250076294;-1.724365234;0.4584198
5.464810855;5.168685913;-1.443054199;0.817550659
5.467252262;5.089675903;-1.21081543;1.220977783
5.469724186;4.948410034;-0.986953735;1.552566528
5.472196109;4.780822754;-0.845703125;1.714172363
5.474668033;4.5809021;-0.87322998;1.754882813
5.477109439;4.41809082;-0.819366455;1.692626953
5.479581363;4.25769043;-0.862457275;1.581298828
5.482053287;4.163116455;-1.030059814;1.541793823
5.484525211;3.978759766;-1.222793579;1.704605103
5.486966617;3.882995605;-1.458618164;1.795578003
5.489438541;3.8722229;-1.656143188;1.838668823
5.491910465;3.861450195;-1.814147949;1.958389282
5.494382389;3.801589966;-1.933868408;2.046966553
5.496823795;3.707015991;-2.020050049;2.182235718
5.499295719;3.578933716;-2.097869873;2.202590942
5.501767643;3.540618896;-2.161315918;2.225341797
5.504209049;3.468795776;-2.302566528;2.297164917
5.506680973;3.460418701;-2.363616943;2.321105957
5.509152896;3.442459106;-2.382781982;2.334274292
5.51162482;3.492736816;-2.454605103;2.347442627
5.514066227;3.554992676;-2.630584717;2.397720337
5.51653815;3.656738281;-2.723953247;2.518630981
5.519010074;3.79800415;-2.951400757;2.568908691
5.521481998;4.021850586;-3.169265747;2.732910156
5.523923404;4.336700439;-3.335662842;2.906494141
5.526395328;4.644348145;-3.520019531;3.094436646
5.528867252;5.044174194;-3.743881226;3.2081604
5.531339176;5.367401123;-3.911468506;3.400894165
5.533780582;5.665481567;-4.114990234;3.599609375
5.536252506;6.070098877;-4.268218994;3.834243774
5.53872443;6.375350952;-4.484893799;4.053314209
5.541196354;6.680618286;-4.757827759;4.376525879
5.54363776;7.024185181;-4.981689453;4.655456543
5.546109684;7.317474365;-5.221099854;4.909240723
5.548581607;7.681396484;-5.486862183;5.237243652
5.551053531;7.956726074;-5.777755737;5.529342651
5.553494937;8.206924438;-6.092590332;5.767562866
5.555966861;8.568450928;-6.345184326;6.021347046
5.558438785;8.873703003;-6.616928101;6.352935791
5.560910709;9.149032593;-6.92338562;6.540893555
5.563382633;9.383666992;-7.312438965;6.706085205
5.565824039;9.684143066;-7.654815674;6.99697876
5.568295963;9.913986206;-7.933731079;7.206481934
5.570767887;10.1893158;-8.228225708;7.363296509
5.573239811;10.39761353;-8.539474487;7.319000244
5.575681217;10.54605103;-8.867477417;7.278305054
5.578153141;10.51493835;-9.227798462;7.193313599
5.580625064;10.53527832;-9.444473267;7.060424805
5.583096988;10.43951416;-9.657562256;6.895233154
5.585538395;10.3952179;-9.766494751;6.939529419
5.588010318;10.23480225;-9.796417236;7.089157104
5.590482242;9.890045166;-9.767700195;7.242385864
5.592923648;9.534500122;-9.638412476;7.266326904
5.595395572;9.120315552;-9.517501831;7.1980896
5.597867496;8.742019653;-9.262512207;7.043670654
5.60033942;8.451126099;-8.804031372;6.87727356
5.602780826;8.267974854;-8.286880493;6.682144165
5.60525275;8.087203979;-7.737411499;6.49659729
5.607724674;7.959121704;-7.13168335;6.36730957
5.610196598;7.930389404;-6.631286621;6.215270996
5.612638004;7.779556274;-6.099777222;6.129089355
5.615109928;7.621536255;-5.658050537;6.060852051
5.617581852;7.530563354;-5.240264893;6.01776123
5.620053775;7.410842896;-4.834442139;6.040496826
5.622495182;7.252838135;-4.49446106;6.097961426
5.624967105;7.117553711;-4.226318359;6.080001831
5.627439029;6.90447998;-3.937805176;6.09437561
5.629910953;6.745254517;-3.712753296;6.085983276
5.632352359;6.619567871;-3.444610596;5.963882446
5.634824283;6.457962036;-3.247085571;5.887268066
5.637296207;6.315505981;-3.037597656;5.730453491
5.639768131;6.236495972;-2.865203857;5.546096802
5.642209537;6.080871582;-2.708389282;5.414413452
5.644681461;5.964752197;-2.586288452;5.238449097
5.647153385;5.874969482;-2.449813843;5.072052002
5.649625309;5.726531982;-2.395950317;4.897262573
5.652066715;5.664276123;-2.343276978;4.805084229
5.654538639;5.592453003;-2.345672607;4.751220703
5.657010562;5.464355469;-2.363616943;4.684188843
5.659482486;5.426055908;-2.351654053;4.621932983
5.661923893;5.368591309;-2.328903198;4.571655273
5.664395816;5.409301758;-2.383972168;4.540527344
5.66686774;5.414077759;-2.397140503;4.504623413
5.669339664;5.463165283;-2.429458618;4.406463623
5.67178107;5.549362183;-2.510864258;4.480682373
5.674252994;5.659484863;-2.629379272;4.469909668
5.676724918;5.733703613;-2.819717407;4.449554443
5.679196842;5.855819702;-3.022033691;4.469909668
5.681638248;5.928833008;-3.227935791;4.435180664
5.684110172;6.101226807;-3.505661011;4.394485474
5.686582096;6.254455566;-3.78338623;4.448348999
5.68905402;6.393310547;-4.150894165;4.508209229
5.691495426;6.569290161;-4.421447754;4.471099854
5.69396735;6.754837036;-4.748245239;4.618347168
5.696439273;6.884124756;-5.087036133;4.647079468
5.698911197;7.054107666;-5.431793213;4.742843628
5.701352604;7.21333313;-5.723892212;4.866149902
5.703824527;7.359375;-5.977676392;5.054092407
5.706296451;7.463516235;-6.219482422;5.267166138
5.708768375;7.640686035;-6.528335571;5.446731567
5.711240299;7.753219604;-6.752197266;5.701721191
5.713712223;7.834625244;-7.010772705;5.933959961
5.716184146;7.896865845;-7.20350647;6.157821655
5.71865607;7.975875854;-7.415390015;6.483428955
5.721097477;7.96270752;-7.541091919;6.768341064
5.7235694;8.007003784;-7.695510864;7.067611694
5.726041324;8.046508789;-7.836776733;7.313018799
5.728513248;8.028549194;-7.931335449;7.617080688
5.730954654;7.911239624;-7.938522339;7.848114014
5.733426578;7.80947876;-7.878662109;8.111480713
5.735898502;7.6849823;-7.845153809;8.307815552
5.738339908;7.487457275;-7.693115234;8.477798462
5.740811832;7.334228516;-7.39503479;8.578353882
5.743283756;7.13192749;-7.020339966;8.762710571
5.74575568;6.976303101;-6.656433105;8.848892212
5.748197086;6.917648315;-6.287719727;8.858474731
5.75066901;6.811096191;-5.890289307;8.862060547
5.753140934;6.769195557;-5.472488403;8.757919312
5.755612857;6.654281616;-5.128921509;8.632217407
5.758054264;6.552520752;-4.806900024;8.408370972
5.760526187;6.443588257;-4.533966064;8.178527832
5.762998111;6.293960571;-4.270599365;7.930725098
5.765470035;6.179031372;-4.11138916;7.766723633
5.767911441;6.021011353;-3.91267395;7.528488159
5.770383365;5.903701782;-3.839645386;7.342941284
5.772855289;5.737304688;-3.826477051;7.143035889
5.775327213;5.517028809;-3.851623535;6.980224609
5.777768619;5.327896118;-3.925842285;6.76713562
5.780240543;5.108825684;-4.098220825;6.49659729
5.782712467;4.857437134;-4.222717285;6.276321411
5.785184391;4.67666626;-4.429824829;6.14465332
5.787625797;4.55696106;-4.589035034;6.034515381
5.790097721;4.48034668;-4.71711731;6.008178711
5.792569645;4.467178345;-4.894302368;6.01776123
5.795041568;4.522247314;-4.985275269;6.035705566
5.797482975;4.653930664;-5.113357544;6.083587646
5.799954898;4.790390015;-5.216308594;6.186538696
5.802426822;4.987915039;-5.279754639;6.323013306
5.804898746;5.106430054;-5.346801758;6.461883545
5.807340152;5.192626953;-5.386306763;6.691726685
5.809812076;5.314727783;-5.398269653;6.856918335
5.812284;5.409301758;-5.466506958;7.14541626
5.814755924;5.440414429;-5.496444702;7.436325073
5.81719733;5.477523804;-5.574249268;7.696090698
5.819669254;5.551757813;-5.642486572;7.984588623
5.822141178;5.593643188;-5.653259277;8.250350952
5.824613102;5.622375488;-5.711914063;8.587936401
5.827054508;5.652313232;-5.709518433;8.897979736
5.829526432;5.641540527;-5.702331543;9.151763916
5.831998355;5.677444458;-5.687973022;9.434280396
5.834470279;5.754058838;-5.691558838;9.65574646
5.836911686;5.859405518;-5.665222168;9.917907715
5.839383609;5.912078857;-5.660446167;10.08071899
5.841855533;6.034179688;-5.635299683;10.29499817
5.844327457;6.116775513;-5.630508423;10.47695923
5.846768863;6.185012817;-5.693954468;10.57870483
5.849240787;6.250854492;-5.726287842;10.6517334
5.851712711;6.298736572;-5.731063843;10.67208862
5.854184635;6.310714722;-5.725082397;10.59547424
5.856626041;6.338241577;-5.769378662;10.45541382
5.859097965;6.394515991;-5.654449463;10.37998962
5.861569889;6.405288696;-5.575439453;10.27822876
5.864041812;6.444793701;-5.374328613;10.32012939
5.866483219;6.493865967;-5.227096558;10.34646606
5.868955143;6.466339111;-5.127731323;10.3704071
5.871427066;6.503448486;-4.970916748;10.40034485
5.87389899;6.495071411;-4.881134033;10.3704071
5.876340396;6.400497437;-4.863174438;10.37161255
5.87881232;6.246063232;-4.793731689;10.29858398
5.881284244;6.121566772;-4.847610474;10.06394958
5.883756168;5.963546753;-4.906265259;9.874816895
5.886197574;5.852218628;-4.913452148;9.62461853
5.888669498;5.770828247;-4.934997559;9.312179565
5.891141422;5.678649902;-4.958938599;9.016494751
5.893613346;5.666671753;-4.949356079;8.750732422
5.896054752;5.664276123;-4.961334229;8.531661987
5.898526676;5.681045532;-4.980484009;8.267105103
5.9009986;5.732513428;-4.972106934;8.033676147
5.903470523;5.773208618;-4.952957153;7.834945679
5.90591193;5.855819702;-4.968521118;7.662567139
5.908383854;5.898910522;-4.943374634;7.503356934
5.910855777;5.909683228;-4.915847778;7.360900879
5.913327701;5.909683228;-4.921829224;7.216049194
5.915769107;5.916870117;-4.871551514;7.043670654
5.918241031;5.927642822;-4.865570068;6.969451904
5.920712955;5.980316162;-4.780578613;6.938323975
5.923184879;5.977920532;-4.751846313;6.86289978
5.925626285;6.043762207;-4.633331299;6.910797119
5.928098209;6.061721802;-4.565093994;6.913192749
5.930570133;6.151504517;-4.426223755;6.961074829
5.933042057;6.213745117;-4.366378784;6.9921875
5.935483463;6.266418457;-4.2837677;7.046066284
5.937955387;6.311904907;-4.18081665;7.120285034
5.940427311;6.314300537;-4.076675415;7.153808594
5.942899234;6.374160767;-3.971328735;7.156204224
5.945340641;6.384933472;-3.881546021;7.238800049
5.947812564;6.390914917;-3.798950195;7.315414429
5.950284488;6.448379517;-3.679244995;7.333374023
5.952756412;6.412460327;-3.522415161;7.354919434
5.955197818;6.394515991;-3.467346191;7.382446289
5.957669742;6.345428467;-3.437423706;7.372879028
5.960141666;6.316696167;-3.363204956;7.389633179
5.962583072;6.268814087;-3.346450806;7.346542358
5.965054996;6.153900146;-3.344055176;7.305831909
5.96752692;6.071289063;-3.407501221;7.259155273
5.969998844;5.952774048;-3.421859741;7.129867554
5.97244025;5.843841553;-3.503265381;7.110702515
5.974912174;5.714553833;-3.548751831;7.043670654
5.977384098;5.605621338;-3.591842651;6.933532715
5.979856021;5.494293213;-3.656494141;6.89402771
5.982297428;5.370986938;-3.70916748;6.886856079
5.984769352;5.251281738;-3.73550415;6.7527771
5.987241275;5.117202759;-3.8671875;6.71685791
5.989713199;4.952011108;-3.86000061;6.631866455
